POS Item Number,POS Item Name,POS UPC,Mfg Name,Mfg Item Number,Regular Price
2840,GHMILY JACK-IN-THE-BOX,,Kids Preferred,96257,29.99
2841,MAD MATH GAME,,Patrix Communications,002,22.99
2842,FLIPS SNAKES& LADDERS,,Patrix Communications,015,23.99
2843,APPLETTERS,,Bananagrams,2000,19.99
2844,DRAWING SUPERHEROS FELT disc,,Djeco (from Hotaling Imports),DJ08685,33.99
2845,SITTERCISE disc,,KIMBO EDUCATIONAL,KIM2045CD,16.99
2846,SEATWORKS disc,,KIMBO EDUCATIONAL,KIM9100CD,18.99
2847,FITTERSITTERS disc,,KIMBO EDUCATIONAL,KIM9165,18.99
2848,CHILDREN'S GAMES CD disc,,KIMBO EDUCATIONAL,KIM9068CD,16.99
2849,ORIGAMI BIRD GAME,,Djeco (from Hotaling Imports),DJ08764,7.99
2850,1 TO 10 WOODEN PZ disc,,Djeco (from Hotaling Imports),DJ01801,23.99
2851,WOOLFY GAME disc,,Djeco (from Hotaling Imports),DJ08427,39.99
2852,GRADE 4 MULTIPLICATION,,KUMON,9781933241562,8.99
2853,TEACH MY BABY,,Teach My Toddler Inc.,2000,49.99
2854,IT'S YOUR BIRTHDAY PENCIL,809263023951,MUSGRAVE PENCIL CO,DTC2395,0.79
2855,THE WORLD CONTINENTS BBSET,,EDUPRESS,EP2231,12.99
2856,INTERNATIONAL FLAG BORDER,,EDUPRESS,EP595,4.99
2857,HAPPY HOLIDAYS BBSET,,EDUPRESS,EP3601,6.99
2858,HAPPY BIRTHDAY! CHART,,Creative Teaching Press,CTP6423,2.99
2859,MONKEY STICKERS,,Creative Teaching Press,CTP4595,3.99
2860,HAPPY 100 DAY!  BBSET disc,,Creative Teaching Press,CTP5891,9.99
2861,100TH DAY COUNTDOWN CHART,,Creative Teaching Press,CTP5896,2.99
2862,"HOORAY, 100 DAYS! STICKERS",,Creative Teaching Press,CTP5892,2.99
2863,PLACE VALUE BBSET,,Creative Teaching Press,CTP4696,9.99
2864,TAKING CARE OF THE EARTH BBSET,,Creative Teaching Press,CTP4704,8.99
2865,AMAZING WATER READER,,Creative Teaching Press,CTP5724,5.99
2866,"ENERGY, SOUND,LIGHT READER",,Creative Teaching Press,CTP5725,5.99
2867,VOLCANIC ERUPTIONS READER,,Creative Teaching Press,CTP5728,5.99
2868,INSECTS ON THE MOVE disc,,Creative Teaching Press,CTP5733,5.99
2869,ANIMALS WE LIVE WITH disc,,Creative Teaching Press,CTP5731,5.99
2870,BIG AND SMALL READER,,Creative Teaching Press,CTP5745,5.99
2871,MORE I'M THROUGH! WHAT CAN I,,Creative Teaching Press,CTP4445,15.99
2872,WORD FAMILIES BBS,,Carson Dellosa Publishing,CD3259,22.99
2873,WINGERTER FAIRY GIFT ENCL,643356403592,,E359,1.25
2874,ALPHABET WRITE-A-MAT,,Melissa & Doug,5003,3.99
2875,NUMBERS 1-10 WRITE-A-MAT,,Melissa & Doug,5004,3.99
2876,HANDWRITING WRITE-A-MAT,,Melissa & Doug,5010,3.99
2877,COUNTING TO 100 WRITE-A-MAT,000772050128,Melissa & Doug,5012,3.99
2878,GR 2 NONFIC READING PRACTICE,,Evan-Moor Educational Publishers,EMC3313,27.99
2879,GR 3 NONFIC READING PRACTICE,,Evan-Moor Educational Publishers,EMC3314,27.99
2880,GR 4 NONFIC READING PRACTICE,,Evan-Moor Educational Publishers,EMC3315,27.99
2881,CANADA'S TRADING PARTNERS disc,,S&S WORLDWIDE,SSJ141,14.99
2882,NIFTY NATURE TIC TAC TOE disc,,"Bead Bazaar USA, Inc.",8816,17.99
2883,LOLLIPOP BEADS 36 PC disc,,"Bead Bazaar USA, Inc.",270,8.99
2884,MEDIUM BEAD BOX ASSORTMENT,,"Bead Bazaar USA, Inc.",1442-5-6,15.99
2885,100 BLOCKS PLAN,,PLAYWELL,X5538,39.99
2886,RAILROAD CROSSING PLAN disc,,PLAYWELL,X6237,16.99
2887,MODERN TRAIN PLAN disc,,PLAYWELL,X6221,21.99
2888,WEATHER STATION,,PLAYWELL,P3279,19.99
2889,PARKING GARAGE,,PLAYWELL,X6227,99.99
2890,CHEF OUTFIT,,PLAYWELL,C20604,19.99
2891,GOBBLET GOBBLERS,,Everest Toys,BOG00103,32.99
2892,BARREL OF MONKEYS,,Everest Toys,04056,7.99
2893,GLITTER SANTA STICKERS,,Dover Publications,0486467996,2
2894,DECORATE A SNOWMAN STICKERS,,Dover Publications,0486405079,2
2895,GLITTER XMAS TATTOOS,,Dover Publications,0486462110,2
2896,XMAS FIND & COLOUR,,Dover Publications,0486471128,6.99
2897,CHRISTMASSCAPES,,Dover Publications,0486471950,5.99
2898,SG SPIRITS OF CHRISTMAS,,Dover Publications,0486472833,9.5
2899,CHRISTMAS COOKIES COLOUR BK,,Dover Publications,0486474488,6.99
2900,CUPCAKES COOK & COLOUR BK,,Dover Publications,0486471136,6.75
2901,PIZZA COOK AND COLOUR BK,,Dover Publications,0486471144,6.75
2902,CHAN PIE AND GNON,,Bug in a Rug / Discoveroo,300200,19.99
2903,SOPHIE ROUND RATTLE disc,,Bug in a Rug / Discoveroo,101058,15.99
2904,SOPHIE RATTLE W/ HANDLE disc,,Bug in a Rug / Discoveroo,200126,15.99
2905,SOPHIE GIRAFFE SOFT TOY disc,,Bug in a Rug / Discoveroo,850714,25.99
2906,INSPIRATION 12 BOOKLET,,Hama Beads,399-12,8.99
2907,INSPIRATION 13 BOOKLET,,Hama Beads,399-13,8.99
2908,EXCAVATOR,4006874008018,,0801,5.99
2909,FRONT LOADER,4006874008025,,0802,5.99
2910,MASSEY FERGUSON,4006874008476,,0847,5.99
2911,JET FIGHTER disc,4006874008735,,0873,4.99
2912,VW TRANSPORTER disc,4006874013388,,1338,5.5
2913,PEUGEOT 207 CC disc,4006874013401,,1340,5.5
2914,AUDI A4 AVANT disc,4006874014392,,1439,5.99
2915,LOW LOADER W/ROCKET,4006874016143,,1614,12.99
2916,UNIMOG FIRE ENGINE,4006874016365,,1636,12.99
2917,TRACTOR W/ TIPPING TRAILER,4006874016327,,1632,12.99
2918,LOW LOADER W/ FOUR W,4006874018390,,1839,35.99
2919,FIRE ENGINE,4006874018413,,1841,23.99
2920,LIEBHERR HYDRAULIC,4006874018741,,1874,22.99
2921,TODDLER TOTE,,Outset Media,LR2116,19.99
