POS Item Number,POS Item Name,POS UPC,Mfg Name,Mfg Item Number,Regular Price
66,PURPLE/GRAPE SCENTED STAMP PAD,0250061,Center Enterprises,CE061,7.99
67,BLACK/LICORICE SCENTED STAMP P,0250073,Center Enterprises,CE073,7.99
68,3 CLOCK STAMP SET,0250099,Center Enterprises,CE99,12.99
69,LARGE CLOCK STAMP,0250101,Center Enterprises,CE101,7.99
70,ORANGE WASHABLE STAMP PAD,0250502,Center Enterprises,CE502,7.99
71,GREEN WASHABLE STAMP PAD,0250503,Center Enterprises,CE503,7.99
72,BLUE WASHABLE STAMP PAD,0250504,Center Enterprises,CE504,7.99
73,RED WASHABLE STAMP PAD,0250505,Center Enterprises,CE505,7.99
74,BLACK WASHABLE STAMP PAD,0250506,Center Enterprises,CE506,7.99
75,HOT PINK WASHABLE STAMP PAD,0250509,Center Enterprises,CE509,7.99
76,HARBOUR BLUE WASHABLE PAD,0250512,Center Enterprises,CE512,7.99
77,WASHABLE RAINBOW STAMP PAD -PR,0250530,Center Enterprises,SA530,9.99
78,TEXTURED STAMPS,0256651,Center Enterprises,CE6651,19.99
79,PAINT EFFECT STAMPS,0256652,Center Enterprises,CE6652,12.99
80,FINGER PAINTERS W/ PAD,0256653,Center Enterprises,CE6653,5.99
81,FINGER PAINTERS/STAMPERS (SET,0256654,Center Enterprises,CE6654,12.99
82,PAINT EFFECT STAMPS TOOLS,0256655,Center Enterprises,CE6655,7.99
83,STIPPLE STAMP,0256656,Center Enterprises,CE6656,1.99
84,PAINT AND SAND ART TOOLS,0256657,Center Enterprises,CE6657,13.99
85,TWIRL-A-PATTERN ART TOOLS,0256658,Center Enterprises,CE6658,7.99
86,GIANT ALPHABET LETTERS UPPER C,0256711,Center Enterprises,CE6711,44.99
87,GIANT LOWER ALPHA LETTERS (28),0256712,Center Enterprises,CE6712,44.99
88,GIANT NUMBERS 0-9 (SET OF 10),0256732,Center Enterprises,CE6732,17.99
89,GIANT FARM ADVENTURE STAMPS 10,0256738,Center Enterprises,CE6738,19.99
90,GIANT FARM ANIMALS STAMPS 10,0256739,Center Enterprises,CE6739,17.99
91,GIANT SEA ADVENTURE STAMPS,0256741,Center Enterprises,CE6741,17.99
92,GIANT SEA CREATURES STAMPS,0256742,Center Enterprises,CE6742,17.99
93,#1 GIANT IMAGINATIVE PLAY (10),0256748,Center Enterprises,CE6748,17.99
94,PAINT AND CLAY EXPLORERS,0256759,Center Enterprises,CE6759,14.99
