POS Item Number,POS Item Name,POS UPC,Mfg Name,Mfg Item Number,Regular Price,,,,,,
1011,Pat the Bunny,9.78031E+12,"Random House, Inc.",9.78031E+12,9.99,,,,,,
1012,Cream Hoppity Bunny,6.70983E+11,"Jellycat, Inc.",HOP6C,12.99,,,,,,
1014,Beige Hoppity Bunny,6.70983E+11,"Jellycat, Inc.",HOP6BB,12.99,,,,,,
1015,This is San Francisco,9.78079E+12,"Random House, Inc.",9.78079E+12,17.95,,,,,,
1016,How the Grinch Stole Christmas,9.78039E+12,"Random House, Inc.",9.78039E+12,15,,,,,,
1017,Create Your Own Monster,9.78186E+12,Hachette Book Group - Chronicle Books,9.78186E+12,24.95,,,,,,
1021,Policeman Small,9.78038E+12,"Random House, Inc.",9.78038E+12,6.99,,,,,,
1022,Annabel Afghan Hound,6.70983E+11,"Jellycat, Inc.",AN2AF,29.99,,,,,,
1026,Fox in Socks,9.78039E+12,"Random House, Inc.",9.78039E+12,8.99,,,,,,
1027,Green Eggs & Ham,9.78039E+12,"Random House, Inc.",9.78039E+12,8.99,,,,,,
1029,Hop on Pop!,9.78039E+12,"Random House, Inc.",9.78039E+12,8.99,,,,,,
1030,Lorax,9.78039E+12,"Random House, Inc.",9.78039E+12,14.95,,,,,,
1032,Kitty,6.70983E+11,"Jellycat, Inc.",SQ4KY,13.99,,,,,,
1033,Sneetches,9.78039E+12,"Random House, Inc.",9.78039E+12,14.99,,,,,,
1034,Bunny,6.70983E+11,"Jellycat, Inc.",SQ4BN,13.99,,,,,,
1035,Puppy,6.70983E+11,"Jellycat, Inc.",SQ4PP,13.99,,,,,,
1038,Mutt Dog,6.70983E+11,"Jellycat, Inc.",TO3MT,22.99,,,,,,
1039,Shark,6.70983E+11,"Jellycat, Inc.",TO3SH,22.99,,,,,,
1045,T-Rex,6.70983E+11,"Jellycat, Inc.",TO3TR,22.99,,,,,,
1048,Kylie Kangaroo,6.70983E+11,"Jellycat, Inc.",KY2KA,26.99,,,,,,
1051,Velvet Bunny,6.70983E+11,"Jellycat, Inc.",VEL4BN,13.99,,,,,,
1054,Demolition Lab Wrecking Ball,8.34509E+11,"International Playthings, Inc.",SL14527,29.99,,,,,,
1059,Ant Works,32309268904,"Fascinations Toys & Gifts, Inc.",ANTW1,19.99,,,,,,
1060,Gyro Ring Pro,,"Fascinations Toys & Gifts, Inc.",GYROP,12.99,,,,,,
1067,Drop Zone Glider Plane,8.34509E+11,"International Playthings, Inc.",SL13259,34.99,,,,,,
1070,Spa Soaps,8.34509E+11,"International Playthings, Inc.",SL14363,19.99,,,,,,
1076,Solar System Adventure,8.34509E+11,"International Playthings, Inc.",SL13260,15.99,,,,,,
1081,Sandy Cat Family,20373214064,"International Playthings, Inc.",CC1406,24.99,,,,,,
1083,Sandy Cat Twins,20373214071,"International Playthings, Inc.",CC1407,8.99,,,,,,
1091,Family Seven Seater Mini Van,20373214835,"International Playthings, Inc.",CC1483,39.99,,,,,,
1095,Splash and Play Whale,20373214088,"International Playthings, Inc.",CC1408,19.99,,,,,,
1109,Adventure Treasure Ship,20373214095,"International Playthings, Inc.",CC1409,29.99,,,,,,
1114,Pirate Ship Sand & Water Table,20373024663,"International Playthings, Inc.",G02466,29.99,,,,,,
1116,Pop-Up Theater Tent,20373024809,"International Playthings, Inc.",G02480,29.99,,,,,,
1120,Travel Pack & Play Doll Suitca,20373024717,"International Playthings, Inc.",G02471,29.99,,,,,,
1126,Deluxe Turtle Water Mat,20373003644,"International Playthings, Inc.",E00364,16.99,,,,,,
1128,Farm Friends Pop-It Beads,20373003781,"International Playthings, Inc.",E00378,9.99,,,,,,
1131,Princess Paige Dress,7.71877E+11,Creative Education of Canada,32625,49.99,,,,,,
1135,Rattle Maze Ball,20373003675,"International Playthings, Inc.",E00367,8.99,,,,,,
1148,Feed n Roll Froggy,20373003699,"International Playthings, Inc.",E00369,16.99,,,,,,
1154,Max Mouse & Scooter,5.05005E+12,"International Playthings, Inc.",EC138965,19.99,,,,,,
1156,Rosie Rabbit & Motor Car,5.05005E+12,"International Playthings, Inc.",EC137042,19.99,,,,,,
1161,Monty Monkey & Motor Car,5.05005E+12,"International Playthings, Inc.",EC137041,19.99,,,,,,
1167,Frankie Frog & Flying Machine,5.05005E+12,"International Playthings, Inc.",EC137043,29.99,,,,,,
1171,Sing Star Microphone,5.05005E+12,"International Playthings, Inc.",EC136785,49.99,,,,,,
1175,Sing Star Microphone,5.05005E+12,"International Playthings, Inc.",EC138859,49.99,,,,,,
1199,Pirate Flag 5'x3',7.21774E+11,Forum Novelties Inc.,58013,10.99,,,,,,
1200,Surprise Arm,,Forum Novelties Inc.,40240,6.99,,,,,,
1201,Strobe Light,7.21774E+11,Forum Novelties Inc.,52895,15.99,,,,,,
1202,Voice Disguiser,7.21774E+11,Forum Novelties Inc.,56983,8.99,,,,,,
1226,Ocean Animals Sticker Fun,6.43356E+11,Peacable Kingdom Press,SP62,9.99,,,,,,
1227,Space Sticker Fun,6.43356E+11,Peacable Kingdom Press,SP63,9.99,,,,,,
1237,"Little Who, The Owl",,Apple Park,TM250,19.99,,,,,,
1238,Cars & Trucks Sticker Fun,6.43356E+11,Peacable Kingdom Press,SP66,9.99,,,,,,
1239,Who The Owl Blankie,,Apple Park,TM249,24.99,,,,,,
1240,Pirates Sticker Fun,6.43356E+11,Peacable Kingdom Press,SP67,9.99,,,,,,
1243,Cotton Loops,7.46331E+11,Harrisville Designs Inc.,F551M,7.99,,,,,,
1247,Baby Bird Egg,,Apple Park,TM163,29.99,,,,,,
1249,Moo mixer Supreme,,"Hog Wild, LLC.",10404X,14.99,,,,,,
1250,Pull Along Turtle,3.70022E+12,Juratoys (JANOD),J08236,19.99,,,,,,
1251,Cage Bell,7.29E+12,"Hohner, Inc.",MP341DB,7.99,,,,,,
1252,Baby Band,7.29001E+12,"Hohner, Inc.",MS9000,22.99,,,,,,
1253,Whirly Twirly Rainmaker,7.29E+12,"Hohner, Inc.",MP225,12.99,,,,,,
1255,Tube Shaker,7.29E+12,"Hohner, Inc.",MP102,5.99,,,,,,
1256,Mini Orchestra,,"Hohner, Inc.",HRP-6005,26.99,,,,,,
1259,"6"" Tambourine",,"Hohner, Inc.",S601C,12.99,,,,,,
1261,Kid's Folk Guitar,48667800731,"Hohner, Inc.",HAG250,59.99,,,,,,
1290,Mini Looping Animals Bead Roll,3.70022E+12,Juratoys (JANOD),J08179,14.99,,,,,,
1293,Circus MultiKub Pyramid,3.70022E+12,Juratoys (JANOD),J02800,24.99,,,,,,
1294,Farm MultiKub Pyramid,3.70022E+12,Juratoys (JANOD),J02801,24.99,,,,,,
1297,Babycat Highchair,3.70022E+12,Juratoys (JANOD),J05896,34.99,,,,,,
1299,Babycat Cradle,3.70022E+12,Juratoys (JANOD),J05897,44.99,,,,,,
1302,Gran Prix Storybox Suitcase,3.70022E+12,Juratoys (JANOD),J08554,49.99,,,,,,
1305,CC Whiskers Cat Twins,20373219960,"International Playthings, Inc.",CC1996disc,7.99,,,,,,
1307,CC Slydale Fox Twins,20373215290,"International Playthings, Inc.",CC1529disc,7.99,,,,,,
1317,Car Transporter Story,3.70022E+12,Juratoys (JANOD),J08572,39.99,,,,,,
1322,Baby Bird Egg,,Apple Park,TM217,29.99,,,,,,
1323,Firemen Truck Story,3.70022E+12,Juratoys (JANOD),J08574,29.99,,,,,,
1327,Baby Bird Egg,,Apple Park,TM218,29.99,,,,,,
1328,Construction Site Truck Story,3.70022E+12,Juratoys (JANOD),J08575,39.99,,,,,,
1329,Bee Stroller Toy,,Apple Park,TM183,14.99,,,,,,
1332,Birdie Teething Ring,,Apple Park,TM165,21.99,,,,,,
